ward,category,cost,total_spent,perc_spending,shape_area,shape_leng
1,Alleys,1375293.96,5639999.97,24.3846448105566,69757593.8542,102569.70148
10,Alleys,528987.22,5639999.96,9.37920609488799,548958842.58,144026.595563
11,Alleys,1711439.62,5639999.96,30.3446743286856,142093459.943,82824.4632842
12,Alleys,1711214.05,5639999.96,30.3406748605722,116096507.849,93073.3408379
13,Alleys,656147.15,5639999.96,11.6338147988214,117333021.721,91758.1670663
14,Alleys,402008.62,5639999.96,7.12781246189938,143011018.899,90165.7974072
15,Alleys,2356515.41,5632754.96,41.8359297845259,65588297.917,82183.6948197
16,Alleys,678980.99,5639999.96,12.0386701208416,103143638.546,97901.3238332
17,Alleys,1107846.87,5639999.96,19.6426751393098,113383616.514,100910.871779
18,Alleys,87647.66,5639999.96,1.55403653584423,183256966.765,65699.143324
19,Alleys,28395.94,5611421.54,0.506038261385011,214115105.843,102339.878771
2,Alleys,336457.54,5613940.71,5.99325068397454,53934808.8716,110739.852187
20,Alleys,759598.39,5524028.62,13.7508047523476,137290356.97,90105.1956185
21,Alleys,695209.31,5639999.96,12.3264062930951,142463997.962,53846.7782943
22,Alleys,1603490.16,5599027.92,28.6387241305273,106633676.288,63985.118325
23,Alleys,488536.8,5604849.11,8.71632385479152,142982293.923,125226.472414
24,Alleys,1049287.34,5605531.57,18.7187838815436,104690374.815,75191.5803706
25,Alleys,333472.09,5627188.84,5.92608671010941,124734729.578,105358.092147
26,Alleys,3499085.46,5639999.96,62.0405227804292,70391187.5645,69089.8822547
27,Alleys,518550.95,5639999.96,9.19416584534869,163221187.276,130222.911895
28,Alleys,741349.37,5587484.17,13.2680352631764,142879662.243,119977.208819
29,Alleys,1379929.95,5639999.96,24.4668432586301,128819108.627,107529.243573
3,Alleys,1450232.91,5617999.96,25.8140427256251,123341548.953,81530.2751668
30,Alleys,1993548.45,5639999.96,35.3466039740894,73730115.3644,81026.9888174
31,Alleys,1433522.05,5639999.96,25.4170578043763,69739758.4303,50635.7831536
32,Alleys,1759983.81,5594149.88,31.461148659821,85458138.8521,79455.8112626
33,Alleys,2109836.86,5596683.42,37.6979847110952,70214893.3538,47062.4200753
34,Alleys,459884.23,5639999.96,8.15397576704947,175928766.112,78608.6539809
35,Alleys,2077319.86,5618030.93,36.975942031704,57297718.519,67016.6379392
36,Alleys,1193609.65,5639999.96,21.1632918167609,88624184.1876,91959.9836412
37,Alleys,1230723.69,5576368.55,22.0703434316586,96123627.3494,54306.074303
38,Alleys,638754.12,5599924.52,11.4064773144478,174307429.474,89794.4594966
39,Alleys,70158.9,5639999.96,1.24395213648193,175096482.287,73079.9934303
4,Alleys,1302879.4,5639999.96,23.100698745395,126006901.096,119468.403755
40,Alleys,1859825.58,5632123.32,33.0217481814656,95929056.6812,48374.9136177
41,Alleys,9040.27,5636683.02,0.160382799031335,484238238.97,252516.011482
42,Alleys,113917.7,5528387.1,2.06059557587782,71494714.6921,62491.4598917
43,Alleys,1389647.84,5608081.52,24.7793801684965,65206365.4153,48544.5349075
44,Alleys,1607535.64,5639999.96,28.5024051666837,49422863.0048,46466.2721725
45,Alleys,568839.45,5634045.45,10.096465409238,125334245.511,76714.8413866
46,Alleys,879627.39,5639999.96,15.5962304297605,53665279.3293,47937.9510595
47,Alleys,915819.02,5609772.7,16.3254211708079,87363636.3844,53371.3055095
48,Alleys,769042.34,5639999.96,13.6355025789752,44838916.158,34831.9936751
49,Alleys,2194296.89,5639999.96,38.9059735028792,49733459.1385,38122.6928259
5,Alleys,919247.55,5541641.63,16.5880006571266,115196005.523,102271.665896
50,Alleys,358407.26,5639999.96,6.35473869755134,80692979.8113,46116.3788804
6,Alleys,205870.59,5639999.96,3.6501877918453,120539114.428,69925.2023858
7,Alleys,293428.04,5595960.72,5.24356861461315,124077234.808,112151.646919
8,Alleys,25539.68,5637199.96,0.453056130370085,162845783.237,89830.3932001
9,Alleys,399793.28,5639521.15,7.08913521851053,257088769.485,111742.641889
